genotype,day,food,plate,dauer,ar,pd,non,condition,allele
N2,4_25_16,OP50,1,10,0,0,66,control,WT
N2,4_25_16,OP50,2,13,0,0,84,control,WT
rict-1(mg360); ex[ges1],4_25_16,OP50,1,12,0,0,49,rescue,mg360
rict-1(mg360); ex[ges1],4_25_16,OP50,2,4,0,0,25,rescue,mg360
sgk-1(ok538),4_25_16,OP50,1,39,0,0,14,control,ok538
sgk-1(ok538),4_25_16,OP50,2,34,0,0,10,control,ok538
sgk-1(ok538); ex[ges1],4_25_16,OP50,1,11,0,0,25,rescue,ok538
sgk-1(ok538); ex[ges1],4_25_16,OP50,2,11,0,0,16,rescue,ok538
akt-1(mg306); ex[ges1],4_25_16,OP50,1,18,0,0,1,rescue,mg306
akt-1(mg306); ex[ges1],4_25_16,OP50,2,26,0,0,0,rescue,mg306
N2,6_5_15,OP50,1,41,0,6,12,control,WT
rict-1(mg360); ex[ges1],6_5_15,OP50,1,2,0,2,39,rescue,mg360
rict-1(mg360); ex[ges1],6_5_15,OP50,2,4,0,0,29,rescue,mg360
sgk-1(ok538),6_5_15,OP50,1,28,0,9,5,control,ok538
sgk-1(ok538),6_5_15,OP50,2,32,0,8,11,control,ok538
sgk-1(ok538); ex[ges1],6_5_15,OP50,1,3,0,1,20,rescue,ok538
sgk-1(ok538); ex[ges1],6_5_15,OP50,2,1,0,0,11,rescue,ok538
akt-1(mg306),6_5_15,OP50,1,41,0,0,0,control,mg306
akt-1(mg306),6_5_15,OP50,2,80,0,0,0,control,mg306
akt-1(mg306); ex[ges1],6_5_15,OP50,1,30,0,0,0,rescue,mg306
akt-1(mg306); ex[ges1],6_5_15,OP50,2,20,0,0,0,rescue,mg306
N2,6_9_15,OP50,1,14,0,8,24,control,WT
N2,6_9_15,OP50,2,7,0,6,31,control,WT
rict-1(mg360),6_9_15,OP50,1,39,0,4,0,control,mg360
rict-1(mg360),6_9_15,OP50,2,40,1,0,0,control,mg360
rict-1(mg360); ex[ges1],6_9_15,OP50,1,4,0,1,26,rescue,mg360
rict-1(mg360); ex[ges1],6_9_15,OP50,2,2,0,0,29,rescue,mg360
sgk-1(ok538),6_9_15,OP50,1,23,0,1,7,control,ok538
sgk-1(ok538),6_9_15,OP50,2,49,0,10,6,control,ok538
sgk-1(ok538); ex[ges1],6_9_15,OP50,1,1,0,1,26,rescue,ok538
sgk-1(ok538); ex[ges1],6_9_15,OP50,2,5,0,1,21,rescue,ok538
akt-1(mg306),6_9_15,OP50,1,37,0,0,0,control,mg306
akt-1(mg306),6_9_15,OP50,2,45,0,0,0,control,mg306
akt-1(mg306); ex[ges1],6_9_15,OP50,1,16,0,0,0,rescue,mg306
akt-1(mg306); ex[ges1],6_9_15,OP50,2,18,0,0,0,rescue,mg306
N2,11_18_16,OP50,1,23,0,0,31,control,WT
N2,11_18_16,OP50,2,39,0,0,38,control,WT
rict-1(ft7),11_18_16,OP50,1,79,0,0,4,control,ft7
rict-1(ft7),11_18_16,OP50,2,68,0,0,4,control,ft7
rict-1(ft7); ex[ges1],11_18_16,OP50,1,10,0,0,11,rescue,ft7
rict-1(ft7); ex[ges1],11_18_16,OP50,2,8,0,0,12,rescue,ft7
N2,11_25_16,OP50,1,0,0,0,58,control,WT
N2,11_25_16,OP50,2,0,0,0,65,control,WT
rict-1(ft7),11_25_16,OP50,1,44,0,0,4,control,ft7
rict-1(ft7),11_25_16,OP50,2,51,0,0,2,control,ft7
rict-1(ft7); ex[ges1],11_25_16,OP50,1,9,0,0,14,rescue,ft7
rict-1(ft7); ex[ges1],11_25_16,OP50,2,9,0,0,21,rescue,ft7
N2,11_26_16,OP50,1,0,0,0,46,control,WT
N2,11_26_16,OP50,2,0,0,0,42,control,WT
rict-1(ft7),11_26_16,OP50,1,66,0,0,3,control,ft7
rict-1(ft7),11_26_16,OP50,2,73,0,0,0,control,ft7
rict-1(ft7); ex[ges1],11_26_16,OP50,1,4,0,0,32,rescue,ft7
rict-1(ft7); ex[ges1],11_26_16,OP50,2,2,0,0,44,rescue,ft7
rict-1(ft7); ex[ges1],11_26_16,OP50,1,1,0,0,20,rescue,ft7
rict-1(ft7); ex[ges1],11_26_16,OP50,2,4,0,0,19,rescue,ft7
N2,12_18_15,OP50,1,45,0,0,79,control,WT
N2,12_18_15,OP50,2,24,0,0,85,control,WT
rict-1(mg360),12_18_15,OP50,1,76,0,0,2,control,mg360
rict-1(mg360),12_18_15,OP50,2,63,0,0,1,control,mg360
rict-1(mg360); ex[ges1],12_18_15,OP50,1,7,0,0,30,rescue,mg360
rict-1(mg360); ex[ges1],12_18_15,OP50,2,7,0,0,18,rescue,mg360
rict-1(mg360),12_15_16,OP50,1,61,0,0,2,control,mg360
rict-1(mg360),12_15_16,OP50,2,59,0,0,5,control,mg360
akt-1(mg306),12_15_16,OP50,1,61,0,0,1,control,mg306
akt-1(mg306),12_15_16,OP50,2,51,0,0,3,control,mg306
N2,1_8_16,OP50,1,53,0,0,86,control,WT
N2,1_8_16,OP50,2,46,0,0,76,control,WT
rict-1(mg360),1_8_16,OP50,1,89,0,0,2,control,mg360
