genotype,day,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,exp_time,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,1,10_16_15,25,OP50,0,ASI,1,2,127,636.008,633,546,694,80773,640,80773,,30,1.272365805,503,607,1.054365733
N2,1,10_16_15,25,OP50,0,ASI,2,2,91,1139.33,1101,977,1266,103679,1146,103679,,30,2.27833002,503,607,1.887973641
N2,1,10_16_15,25,OP50,0,ASJ,3,2,78,735.872,704,668,799,57398,739,57398,,30,1.469184891,503,607,1.217462932
N2,1,10_16_15,25,OP50,0,ASI,4,3,121,2088.355,2001,1442,2376,252691,2119,252691,,30,4.212723658,503,607,3.490939044
N2,1,10_16_15,25,OP50,0,ASJ,5,3,88,1168,1135,973,1278,102784,1184,102784,,30,2.35387674,503,607,1.950576606
N2,1,10_16_15,25,OP50,0,ASI,6,4,135,1979.704,2113,1452,2290,267260,1997,267260,,30,3.970178926,503,607,3.289950577
N2,1,10_16_15,25,OP50,0,ASI,7,4,119,1569.613,1490,1063,1821,186784,1596,186784,,30,3.172962227,503,607,2.629324547
N2,1,10_16_15,25,OP50,0,ASJ,8,4,201,771.413,745,635,867,155054,773,155054,,30,1.536779324,503,607,1.273476112
N2,1,10_16_15,25,OP50,0,ASJ,9,4,119,843.008,840,657,944,100318,854,100318,,30,1.697813121,503,607,1.406919275
N2,1,10_16_15,25,OP50,0,ASI,10,5,101,2091.594,1886,1662,2311,211251,2106,211251,,30,4.186878728,503,607,3.469522241
N2,1,10_16_15,25,OP50,0,ASJ,11,5,80,1121.688,1136,1003,1207,89735,1130,89735,,30,2.246520875,503,607,1.861614498
N2,1,10_16_15,25,OP50,0,ASJ,12,5,96,1726.094,1560,1474,1953,165705,1753,165705,,30,3.485089463,503,607,2.887973641
N2,1,10_16_15,25,OP50,0,ASI,13,6,105,2123.2,2083,1705,2365,222936,2148,222936,,30,4.270377734,503,607,3.538714992
N2,1,10_16_15,25,OP50,0,ASI,14,6,96,2060.24,2110,1709,2263,197783,2086,197783,,30,4.147117296,503,607,3.436573311
N2,1,10_16_15,25,OP50,0,ASJ,15,6,85,1394.976,1393,1181,1524,118573,1412,118573,,30,2.807157058,503,607,2.326194399
N2,1,10_16_15,25,OP50,0,ASJ,16,6,137,739.876,696,673,808,101363,744,101363,,30,1.479125249,503,607,1.225700165
N2,1,10_16_15,25,OP50,0,ASI,17,7,122,4003.623,4095,3397,4095,488442,4095,488442,,30,8.141153082,503,607,6.746293245
N2,1,10_16_15,25,OP50,0,ASJ,18,7,132,1732.932,1643,1504,1891,228747,1749,228747,,30,3.477137177,503,607,2.881383855
N2,1,10_16_15,25,OP50,0,ASI,19,8,93,1848.43,1681,1237,2163,171904,1879,171904,,30,3.735586481,503,607,3.095551895
N2,1,10_16_15,25,OP50,0,ASJ,20,8,93,1654.935,1479,1178,1847,153909,1666,153909,,30,3.312127237,503,607,2.744645799
N2,1,10_16_15,25,OP50,0,ASI,21,9,119,1504.353,1309,1074,1763,179018,1524,179018,,30,3.029821074,503,607,2.510708402
N2,1,10_16_15,25,OP50,0,ASI,22,9,126,1139.206,1073,878,1278,143540,1170,143540,,30,2.326043738,503,607,1.927512356
N2,1,10_16_15,25,OP50,0,ASJ,23,9,120,979.7,971,794,1096,117564,992,117564,,30,1.972166998,503,607,1.634266886
N2,1,10_16_15,25,OP50,0,ASJ,24,9,62,1203.226,1180,1061,1278,74600,1207,74600,,30,2.399602386,503,607,1.988467875
N2,1,10_16_15,25,OP50,0,ASI,25,10,112,2409.018,2455,1796,2723,269810,2445,269810,,30,4.86083499,503,607,4.02800659
N2,1,10_16_15,25,OP50,0,ASJ,26,10,68,1065.809,1114,952,1152,72475,1072,72475,,30,2.131212724,503,607,1.766062603
N2,1,10_16_15,27,OP50,0,ASI,27,11,156,2232.622,1930,1389,2622,348289,2290,348289,,30,4.552683897,503,607,3.772652389
N2,1,10_16_15,27,OP50,0,ASJ,28,11,143,979.28,1038,748,1092,140037,999,140037,,30,1.986083499,503,607,1.645799012
N2,1,10_16_15,27,OP50,0,ASJ,29,11,161,938.217,901,768,1036,151053,940,151053,,30,1.868787276,503,607,1.548599671
N2,1,10_16_15,27,OP50,0,ASI,30,12,103,1201.874,1252,1040,1321,123793,1211,123793,,30,2.407554672,503,607,1.995057661
N2,1,10_16_15,27,OP50,0,ASI,31,12,76,1280.684,1365,1047,1439,97332,1285,97332,,30,2.554671968,503,607,2.116968699
N2,1,10_16_15,27,OP50,0,ASJ,32,12,76,680.776,691,609,727,51739,687,51739,,30,1.365805169,503,607,1.131795717
N2,1,10_16_15,27,OP50,0,ASJ,33,12,100,680.06,638,627,735,68006,680,68006,,30,1.351888668,503,607,1.120263591
N2,1,10_16_15,27,OP50,0,ASI,34,13,98,1072.02,1034,928,1166,105058,1082,105058,,30,2.151093439,503,607,1.782537068
N2,1,10_16_15,27,OP50,0,ASI,35,13,65,910.062,973,744,986,59154,923,59154,,30,1.83499006,503,607,1.520593081
