genotype,day,food,plate,dauer,ar,pd,non,line,allele
N2,3_22_14,OP50,1,23,0,8,45,,
N2,3_22_14,OP50,2,17,0,9,37,,
rict-1,3_22_14,OP50,1,26,1,1,0,,ft7
rict-1,3_22_14,OP50,2,24,3,1,0,,ft7
rict-1,3_22_14,OP50,1,39,2,3,0,,mg360
rict-1,3_22_14,OP50,2,50,5,3,0,,mg360
N2,3_22_14,HB101,1,5,0,4,64,,
N2,3_22_14,HB101,2,6,0,2,60,,
rict-1,3_22_14,HB101,1,32,0,2,0,,ft7
rict-1,3_22_14,HB101,2,28,0,4,0,,ft7
rict-1,3_22_14,HB101,1,33,1,8,0,,mg360
rict-1,3_22_14,HB101,2,41,0,7,0,,mg360
N2,2_25_14,OP50,1,23,4,27,10,,
N2,2_25_14,OP50,2,34,0,20,19,,
rict-1,2_25_14,OP50,1,37,0,5,0,,ft7
rict-1,2_25_14,OP50,2,32,0,3,0,,ft7
rict-1,2_25_14,OP50,1,32,1,2,0,,mg360
rict-1,2_25_14,OP50,2,45,1,1,0,,mg360
N2,2_25_14,HB101,1,8,0,17,19,,
N2,2_25_14,HB101,2,3,1,8,47,,
rict-1,2_25_14,HB101,1,30,0,2,0,,ft7
rict-1,2_25_14,HB101,2,40,0,0,0,,ft7
rict-1,2_25_14,HB101,1,33,2,2,0,,mg360
rict-1,2_25_14,HB101,2,38,2,1,0,,mg360
N2,4_11_14,OP50,1,8,0,5,62,,
N2,4_11_14,OP50,2,16,0,5,56,,
rict-1,4_11_14,OP50,1,26,0,8,0,,ft7
rict-1,4_11_14,OP50,2,38,0,3,0,,ft7
rict-1,4_11_14,OP50,1,51,4,8,0,,mg360
rict-1,4_11_14,OP50,2,44,5,2,0,,mg360
N2,4_11_14,HB101,1,7,0,3,72,,
N2,4_11_14,HB101,2,3,0,3,61,,
rict-1,4_11_14,HB101,1,18,0,12,0,,ft7
rict-1,4_11_14,HB101,2,19,0,9,1,,ft7
rict-1,4_11_14,HB101,1,51,1,8,0,,mg360
rict-1,4_11_14,HB101,2,39,2,12,0,,mg360
