date,genotype,plate,food,gridentry,comment,line,n_entries
1_4_17,N2,1,OP50,,,,199
1_4_17,N2,2,OP50,,,,250
1_4_17,N2,3,OP50,,,,277
1_4_17,N2,4,OP50,,,,275
1_4_17,N2,5,OP50,,,,77
1_4_17,CB4856,1,OP50,,,,169
1_4_17,CB4856,2,OP50,,,,144
1_4_17,CB4856,3,OP50,,,,219
1_4_17,CB4856,4,OP50,,,,279
1_4_17,JU561,1,OP50,,,,368
1_4_17,JU561,2,OP50,,,,274
1_4_17,JU322,1,OP50,,,,146
1_4_17,MY14,1,OP50,,,,139
1_4_17,MY14,2,OP50,,,,357
1_4_17,MY14,3,OP50,,,,330
1_5_17,N2,1,OP50,,,,148
1_5_17,N2,2,OP50,,,,211
1_5_17,N2,3,OP50,,,,255
1_5_17,N2,4,OP50,,,,325
1_5_17,N2,5,OP50,,,,340
1_5_17,N2,6,OP50,,,,289
1_5_17,CB3198,1,OP50,,,,414
1_5_17,CB3198,2,OP50,,,,199
1_5_17,CB3198,3,OP50,,,,210
1_5_17,CB3198,4,OP50,,,,388
1_5_17,CB3198,5,OP50,,,,320
1_5_17,ED3040,1,OP50,,,,231
1_5_17,ED3040,2,OP50,,,,666
1_5_17,ED3040,3,OP50,,,,406
1_5_17,ED3040,4,OP50,,,,172
1_5_17,ED3040,5,OP50,,,,69
1_5_17,JU345,1,OP50,,,,271
1_5_17,JU345,2,OP50,,,,514
1_5_17,JU345,3,OP50,,,,395
1_5_17,JU362,1,OP50,,,,167
1_5_17,JU362,2,OP50,,,,302
1_5_17,JU362,3,OP50,,,,151
1_5_17,JU362,4,OP50,,,,225
1_5_17,PX178,1,OP50,,,,244
1_5_17,PX178,2,OP50,,,,427
1_5_17,PX178,3,OP50,,,,431
1_5_17,PX178,4,OP50,,,,498
1_5_17,PX178,5,OP50,,,,466
1_5_17,PX178,6,OP50,,,,431
1_14_17,N2,1,OP50,,,,156
1_14_17,N2,2,OP50,,,,222
1_14_17,N2,3,OP50,,,,246
1_14_17,N2,4,OP50,,,,243
1_14_17,N2,5,OP50,,,,216
1_14_17,N2,6,OP50,,,,218
1_14_17,CB3198,1,OP50,,,,236
1_14_17,CB3198,2,OP50,,,,308
1_14_17,CB4856,1,OP50,,,,484
1_14_17,CB4856,2,OP50,,,,508
1_14_17,CB4856,3,OP50,,,,655
1_14_17,ED3040,1,OP50,,,,204
1_14_17,ED3040,2,OP50,,,,691
1_14_17,ED3040,3,OP50,,,,557
1_14_17,ED3040,4,OP50,,,,367
1_14_17,JU322,1,OP50,,,,111
1_14_17,JU322,2,OP50,,,,354
1_14_17,JU322,3,OP50,,,,225
1_14_17,JU322,4,OP50,,,,279
1_14_17,JU345,1,OP50,,,,180
1_14_17,JU345,2,OP50,,,,305
1_14_17,JU345,3,OP50,,,,168
1_14_17,JU345,4,OP50,,,,299
1_14_17,JU362,1,OP50,,,,421
1_14_17,JU561,1,OP50,,,,239
1_14_17,JU561,2,OP50,,,,367
1_14_17,JU561,3,OP50,,,,425
1_14_17,JU561,4,OP50,,,,299
1_14_17,MY14,1,OP50,,,,225
1_14_17,MY14,2,OP50,,,,331
1_14_17,MY14,3,OP50,,,,317
1_14_17,PX178,1,OP50,,,,488
1_14_17,PX178,2,OP50,,,,454
1_14_17,PX178,3,OP50,,,,204
1_14_17,PX178,4,OP50,,,,392
1_31_17,N2,1,OP50,,,,255
1_31_17,N2,2,OP50,,,,276
1_31_17,N2,3,OP50,,,,268
1_31_17,N2,4,OP50,,,,335
1_31_17,CB3198,1,OP50,,,,127
1_31_17,CB3198,2,OP50,,,,279
1_31_17,CB3198,3,OP50,,,,211
1_31_17,CB3198,4,OP50,,,,168
1_31_17,ED3040,1,OP50,,,,317
1_31_17,ED3040,2,OP50,,,,288
1_31_17,JU322,1,OP50,,,,220
1_31_17,JU345,1,OP50,,,,213
1_31_17,JU345,2,OP50,,,,137
1_31_17,JU362,1,OP50,,,,165
1_31_17,JU561,1,OP50,,,,449
1_31_17,JU561,2,OP50,,,,469
1_31_17,PX178,1,OP50,,,,371
2_21_17,N2,1,OP50,,,,104
2_21_17,N2,2,OP50,,,,54
2_21_17,N2,3,OP50,,,,234
2_21_17,N2,4,OP50,,,,156
2_21_17,N2,5,OP50,,,,135
3_4_17,N2,1,OP50,,,,291
3_4_17,N2,2,OP50,,,,106
3_4_17,N2,3,OP50,,,,98
3_4_17,N2,4,OP50,,,,180
3_4_17,N2,5,OP50,,,,186
3_4_17,N2,6,OP50,,,,198
3_4_17,CB4856,1,OP50,,,,511
3_4_17,CB4856,2,OP50,,,,414
3_4_17,CB4856,3,OP50,,,,521
3_4_17,CB4856,4,OP50,,,,489
3_10_17,N2,1,OP50,,,,193
3_10_17,N2,2,OP50,,,,262
3_10_17,N2,3,OP50,,,,253
3_10_17,N2,4,OP50,,,,249
3_10_17,N2,5,OP50,,,,317
3_10_17,CB4856,1,OP50,,,,429
3_10_17,JU322,1,OP50,,,,458
3_10_17,JU322,2,OP50,,,,148
3_10_17,JU322,3,OP50,,,,189
3_10_17,JU322,4,OP50,,,,191
3_10_17,JU362,1,OP50,,,,244
3_10_17,JU362,2,OP50,,,,255
3_10_17,JU362,3,OP50,,,,262
3_10_17,JU561,1,OP50,,,,128
3_10_17,JU561,2,OP50,,,,184
3_10_17,JU561,3,OP50,,,,74
3_10_17,MY14,1,OP50,,,,157
3_10_17,QTL1,1,OP50,,,,288
3_10_17,QTL1,2,OP50,,,,337
3_10_17,QTL1,3,OP50,,,,261
3_10_17,QTL1,4,OP50,,,,440
3_10_17,QTL1,5,OP50,,,,609
3_10_17,QTL2,1,OP50,,,,279
3_10_17,QTL2,2,OP50,,,,299
3_10_17,QTL2,3,OP50,,,,372
3_10_17,QTL2,4,OP50,,,,159
3_10_17,QTL2,5,OP50,,,,383
3_10_17,QTL2,6,OP50,,,,91
3_17_17,N2,1,OP50,,,,255
3_17_17,N2,2,OP50,,,,308
3_17_17,N2,3,OP50,,,,159
3_17_17,N2,4,OP50,,,,291
3_17_17,N2,5,OP50,,,,213
3_17_17,N2,6,OP50,,,,171
3_17_17,CB4856,1,OP50,,,,437
3_17_17,CB4856,2,OP50,,,,467
3_17_17,CB4856,3,OP50,,,,639
3_17_17,CB4856,4,OP50,,,,430
3_17_17,CB4856,5,OP50,,,,463
3_17_17,CB4856,6,OP50,,,,525
3_17_17,CB4856,7,OP50,,,,389
3_17_17,CB4856,8,OP50,,,,383
3_17_17,CB4856,9,OP50,,,,565
3_17_17,CB4856,10,OP50,,,,321
3_17_17,JU322,1,OP50,,,,125
3_17_17,JU322,2,OP50,,,,213
3_17_17,JU362,3,OP50,,,,138
3_17_17,JU561,1,OP50,,,,321
3_17_17,JU561,2,OP50,,,,300
3_17_17,JU561,3,OP50,,,,175
3_17_17,JU561,4,OP50,,,,155
3_17_17,MY14,1,OP50,,,,308
3_17_17,MY14,2,OP50,,,,278
3_17_17,MY14,3,OP50,,,,222
3_17_17,MY14,4,OP50,,,,347
