genotype,day,food,condition,temp,plate,dauer,ar,pd,non,gtChrI,gtChrII,gtChrIII,gtChrIV,gtChrV,gtChrX
N2,5_2_13,OP50,HT,27,1,13,0,2,49,N2,N2,N2,N2,N2,N2
N2,5_2_13,OP50,HT,27,2,4,0,6,22,N2,N2,N2,N2,N2,N2
CB4856,5_2_13,OP50,HT,27,1,0,0,2,30,CB,CB,CB,CB,CB,CB
CB4856,5_2_13,OP50,HT,27,2,0,0,1,34,CB,CB,CB,CB,CB,CB
CSSI,5_2_13,OP50,HT,27,1,29,1,3,18,CB,N2,N2,N2,N2,N2
CSSII,5_2_13,OP50,HT,27,1,2,2,4,30,N2,CB,N2,N2,N2,N2
CSSII,5_2_13,OP50,HT,27,2,2,0,8,26,N2,CB,N2,N2,N2,N2
CSSIII,5_2_13,OP50,HT,27,1,8,0,7,18,N2,N2,CB,N2,N2,N2
CSSIII,5_2_13,OP50,HT,27,2,11,0,6,25,N2,N2,CB,N2,N2,N2
CSSIV,5_2_13,OP50,HT,27,1,24,1,0,19,N2,N2,N2,CB,N2,N2
CSSIV,5_2_13,OP50,HT,27,2,2,1,1,14,N2,N2,N2,CB,N2,N2
CSSV,5_2_13,OP50,HT,27,1,31,0,0,2,N2,N2,N2,N2,CB,N2
CSSV,5_2_13,OP50,HT,27,2,9,0,0,6,N2,N2,N2,N2,CB,N2
CSSX,5_2_13,OP50,HT,27,1,9,0,3,13,N2,N2,N2,N2,N2,CB
CSSX,5_2_13,OP50,HT,27,2,17,0,4,29,N2,N2,N2,N2,N2,CB
N2,5_15_13,OP50,HT,27,1,9,1,1,16,N2,N2,N2,N2,N2,N2
N2,5_15_13,OP50,HT,27,2,12,0,0,21,N2,N2,N2,N2,N2,N2
CB4856,5_15_13,OP50,HT,27,1,0,0,0,29,CB,CB,CB,CB,CB,CB
CB4856,5_15_13,OP50,HT,27,2,0,1,0,22,CB,CB,CB,CB,CB,CB
CB4856,5_15_13,OP50,HT,27,1,1,1,1,14,CB,CB,CB,CB,CB,CB
CB4856,5_15_13,OP50,HT,27,2,1,0,0,13,CB,CB,CB,CB,CB,CB
CSSI,5_15_13,OP50,HT,27,1,7,0,0,23,CB,N2,N2,N2,N2,N2
CSSI,5_15_13,OP50,HT,27,2,23,2,0,20,CB,N2,N2,N2,N2,N2
CSSII,5_15_13,OP50,HT,27,1,1,5,0,29,N2,CB,N2,N2,N2,N2
CSSII,5_15_13,OP50,HT,27,2,6,0,3,23,N2,CB,N2,N2,N2,N2
CSSII,5_15_13,OP50,HT,27,3,7,0,2,25,N2,CB,N2,N2,N2,N2
CSSIII,5_15_13,OP50,HT,27,1,11,0,3,19,N2,N2,CB,N2,N2,N2
CSSIII,5_15_13,OP50,HT,27,2,4,0,5,18,N2,N2,CB,N2,N2,N2
CSSIV,5_15_13,OP50,HT,27,1,10,7,1,38,N2,N2,N2,CB,N2,N2
CSSIV,5_15_13,OP50,HT,27,2,2,2,0,44,N2,N2,N2,CB,N2,N2
CSSV,5_15_13,OP50,HT,27,1,8,4,1,16,N2,N2,N2,N2,CB,N2
CSSV,5_15_13,OP50,HT,27,2,5,1,0,24,N2,N2,N2,N2,CB,N2
CSSX,5_15_13,OP50,HT,27,1,0,0,0,21,N2,N2,N2,N2,N2,CB
CSSX,5_15_13,OP50,HT,27,2,0,1,0,24,N2,N2,N2,N2,N2,CB
N2,6_14_13,OP50,HT,27,1,17,0,10,14,N2,N2,N2,N2,N2,N2
N2,6_14_13,OP50,HT,27,2,22,0,5,13,N2,N2,N2,N2,N2,N2
CB4856,6_14_13,OP50,HT,27,1,0,1,2,9,CB,CB,CB,CB,CB,CB
CB4856,6_14_13,OP50,HT,27,2,1,1,2,8,CB,CB,CB,CB,CB,CB
CB4856,6_14_13,OP50,HT,27,1,0,2,1,11,CB,CB,CB,CB,CB,CB
CB4856,6_14_13,OP50,HT,27,2,0,2,0,26,CB,CB,CB,CB,CB,CB
CSSI,6_14_13,OP50,HT,27,1,2,6,5,2,CB,N2,N2,N2,N2,N2
CSSI,6_14_13,OP50,HT,27,2,8,2,4,13,CB,N2,N2,N2,N2,N2
CSSII,6_14_13,OP50,HT,27,1,0,2,1,41,N2,CB,N2,N2,N2,N2
CSSII,6_14_13,OP50,HT,27,2,0,2,2,28,N2,CB,N2,N2,N2,N2
CSSIII,6_14_13,OP50,HT,27,1,14,0,19,23,N2,N2,CB,N2,N2,N2
CSSIII,6_14_13,OP50,HT,27,2,15,1,7,28,N2,N2,CB,N2,N2,N2
CSSIV,6_14_13,OP50,HT,27,1,13,1,6,30,N2,N2,N2,CB,N2,N2
CSSIV,6_14_13,OP50,HT,27,2,9,0,11,36,N2,N2,N2,CB,N2,N2
CSSX,6_14_13,OP50,HT,27,1,9,1,9,17,N2,N2,N2,N2,N2,CB
CSSX,6_14_13,OP50,HT,27,2,12,0,7,12,N2,N2,N2,N2,N2,CB
