genotype,day,food,plate,dauer,ar,pd,non
N2,7_25_13,OP50,1,37,0,6,7
N2,7_25_13,OP50,2,44,2,5,8
CB4856,7_25_13,OP50,1,1,0,0,51
CB4856,7_25_13,OP50,2,0,0,0,49
ewIR19,7_25_13,OP50,1,59,0,8,14
ewIR19,7_25_13,OP50,2,69,1,5,7
ewIR20,7_25_13,OP50,1,3,5,38,4
ewIR20,7_25_13,OP50,2,11,0,21,17
ewIR21,7_25_13,OP50,2,19,0,12,25
ewIR22,7_25_13,OP50,1,43,0,1,3
ewIR22,7_25_13,OP50,2,18,0,2,4
ewIR23,7_25_13,OP50,1,19,1,4,13
ewIR23,7_25_13,OP50,2,20,0,4,7
ewIR25,7_25_13,OP50,1,2,0,10,44
ewIR25,7_25_13,OP50,2,7,0,6,55
ewIR26,7_25_13,OP50,1,21,0,12,29
ewIR27,7_25_13,OP50,1,12,0,35,5
ewIR27,7_25_13,OP50,2,19,0,20,15
N2,8_2_13,OP50,1,6,0,1,45
N2,8_2_13,OP50,2,10,0,7,33
CB4856,8_2_13,OP50,1,0,0,0,19
CB4856,8_2_13,OP50,2,0,2,1,27
ewIR19,8_2_13,OP50,1,15,1,1,32
ewIR19,8_2_13,OP50,2,12,0,1,49
ewIR20,8_2_13,OP50,1,5,0,4,47
ewIR20,8_2_13,OP50,2,3,0,3,37
ewIR21,8_2_13,OP50,1,4,3,4,60
ewIR21,8_2_13,OP50,2,16,0,2,48
ewIR22,8_2_13,OP50,1,0,0,0,45
ewIR22,8_2_13,OP50,2,4,0,0,36
ewIR23,8_2_13,OP50,1,5,0,5,35
ewIR23,8_2_13,OP50,2,4,0,1,40
ewIR24,8_2_13,OP50,1,5,0,2,42
ewIR24,8_2_13,OP50,2,4,2,1,54
ewIR25,8_2_13,OP50,1,0,0,2,67
ewIR25,8_2_13,OP50,2,0,0,1,53
ewIR26,8_2_13,OP50,1,2,0,0,54
ewIR26,8_2_13,OP50,2,3,0,3,37
ewIR27,8_2_13,OP50,1,1,0,0,33
ewIR27,8_2_13,OP50,2,4,0,1,42
N2,8_29_13,OP50,1,19,0,8,20
N2,8_29_13,OP50,2,22,0,5,26
CB4856,8_29_13,OP50,1,0,1,0,25
CB4856,8_29_13,OP50,2,0,1,0,25
ewIR19,8_29_13,OP50,1,14,2,0,45
ewIR19,8_29_13,OP50,2,21,0,2,24
ewIR20,8_29_13,OP50,1,7,0,22,31
ewIR20,8_29_13,OP50,2,7,0,6,47
ewIR21,8_29_13,OP50,1,56,1,7,17
ewIR21,8_29_13,OP50,2,24,0,8,36
ewIR22,8_29_13,OP50,1,10,0,3,39
ewIR22,8_29_13,OP50,2,3,0,0,48
ewIR23,8_29_13,OP50,1,12,0,8,56
ewIR23,8_29_13,OP50,2,19,0,4,30
ewIR24,8_29_13,OP50,1,14,0,7,44
ewIR24,8_29_13,OP50,2,7,0,2,36
ewIR25,8_29_13,OP50,1,0,0,0,60
ewIR25,8_29_13,OP50,2,1,1,1,56
ewIR26,8_29_13,OP50,1,0,0,0,49
ewIR26,8_29_13,OP50,2,0,0,1,36
ewIR27,8_29_13,OP50,1,9,0,6,50
ewIR27,8_29_13,OP50,2,11,0,3,41
N2,6_9_15,OP50,1,14,0,8,24
N2,6_9_15,OP50,2,7,0,6,31
ewIR19,6_9_15,OP50,1,11,0,0,60
ewIR19,6_9_15,OP50,2,9,0,0,56
ewIR20,6_9_15,OP50,1,9,0,14,13
ewIR20,6_9_15,OP50,2,5,0,8,20
ewIR21,6_9_15,OP50,1,38,0,9,31
ewIR21,6_9_15,OP50,2,25,0,5,13
ewIR22,6_9_15,OP50,1,3,0,1,48
ewIR22,6_9_15,OP50,2,14,0,10,32
ewIR23,6_9_15,OP50,1,3,0,5,38
ewIR23,6_9_15,OP50,2,3,0,0,60
ewIR24,6_9_15,OP50,1,21,0,3,39
ewIR24,6_9_15,OP50,2,17,0,7,26
ewIR25,6_9_15,OP50,1,0,0,0,67
ewIR25,6_9_15,OP50,2,0,0,0,71
ewIR26,6_9_15,OP50,1,0,0,0,61
ewIR26,6_9_15,OP50,2,0,0,0,71
ewIR27,6_9_15,OP50,1,19,0,7,42
ewIR27,6_9_15,OP50,2,10,0,4,44
CB4856,6_9_15,OP50,1,0,0,0,51
CB4856,6_9_15,OP50,2,1,0,3,30
N2,6_5_15,OP50,1,41,0,6,12
ewIR19,6_5_15,OP50,1,56,0,0,54
ewIR19,6_5_15,OP50,2,31,9,5,32
ewIR20,6_5_15,OP50,1,10,3,18,15
ewIR20,6_5_15,OP50,2,9,0,20,23
ewIR21,6_5_15,OP50,1,49,2,6,9
ewIR21,6_5_15,OP50,2,28,2,2,10
ewIR22,6_5_15,OP50,1,29,0,8,37
ewIR22,6_5_15,OP50,2,33,0,5,27
ewIR23,6_5_15,OP50,1,20,1,11,27
ewIR23,6_5_15,OP50,2,29,0,8,25
ewIR24,6_5_15,OP50,1,38,0,7,34
ewIR24,6_5_15,OP50,2,36,2,26,23
ewIR25,6_5_15,OP50,1,0,0,0,62
ewIR25,6_5_15,OP50,2,1,1,2,55
ewIR26,6_5_15,OP50,1,5,0,1,81
ewIR26,6_5_15,OP50,2,1,0,0,60
ewIR27,6_5_15,OP50,1,18,0,0,52
ewIR27,6_5_15,OP50,2,17,0,2,59
CB4856,6_5_15,OP50,1,4,0,2,36
CB4856,6_5_15,OP50,2,3,9,2,35
