genotype,day,food,condition,temp,plate,dauer,ar,pd,non
N2,11_20_13,OP50,HT,27,1,19,0,7,22
N2,11_20_13,OP50,HT,27,2,14,0,3,25
CB4856,11_20_13,OP50,HT,27,1,0,0,0,38
CB4856,11_20_13,OP50,HT,27,2,1,0,2,29
NIL10,11_20_13,OP50,HT,27,1,0,1,0,34
NIL10,11_20_13,OP50,HT,27,2,0,2,2,17
NIL10,11_20_13,OP50,HT,27,3,0,1,4,53
NIL10,11_20_13,OP50,HT,27,4,1,1,4,50
NIL10,11_20_13,OP50,HT,27,5,0,0,1,57
NIL10,11_20_13,OP50,HT,27,6,2,1,1,57
NIL59,11_20_13,OP50,HT,27,1,10,0,2,52
NIL59,11_20_13,OP50,HT,27,2,7,0,1,44
NIL76,11_20_13,OP50,HT,27,1,31,2,7,14
NIL76,11_20_13,OP50,HT,27,2,29,0,7,27
N2,12_9_13,OP50,HT,27,1,18,1,6,32
N2,12_9_13,OP50,HT,27,2,12,0,0,37
CB4856,12_9_13,OP50,HT,27,1,0,0,0,49
CB4856,12_9_13,OP50,HT,27,2,0,1,1,46
NIL10,12_9_13,OP50,HT,27,1,2,0,4,35
NIL10,12_9_13,OP50,HT,27,2,1,0,3,38
NIL10,12_9_13,OP50,HT,27,3,3,0,9,46
NIL10,12_9_13,OP50,HT,27,4,2,0,5,54
NIL10,12_9_13,OP50,HT,27,5,2,0,2,40
NIL10,12_9_13,OP50,HT,27,6,2,0,0,51
NIL59,12_9_13,OP50,HT,27,1,2,0,4,56
NIL59,12_9_13,OP50,HT,27,2,4,0,1,58
NIL76,12_9_13,OP50,HT,27,1,27,0,1,30
NIL76,12_9_13,OP50,HT,27,2,29,0,4,15
NIL78,12_9_13,OP50,HT,27,1,15,0,2,40
NIL78,12_9_13,OP50,HT,27,2,17,0,3,43
NIL78,12_9_13,OP50,HT,27,3,15,0,3,43
NIL78,12_9_13,OP50,HT,27,4,10,0,2,50
N2,2_15_14,OP50,HT,27,1,19,0,3,30
N2,2_15_14,OP50,HT,27,2,32,0,3,37
CB4856,2_15_14,OP50,HT,27,1,2,0,18,38
CB4856,2_15_14,OP50,HT,27,2,0,12,9,31
NIL59,2_15_14,OP50,HT,27,1,0,0,3,65
NIL59,2_15_14,OP50,HT,27,2,3,2,6,63
