genotype,day,food,condition,temp,plate,dauer,ar,pd,non,month,year
N2,4_20_13,OP50,,27,1,0,0,0,16,4,13
N2,4_20_13,OP50,,27,2,1,0,0,16,4,13
N2,8_2_13,OP50,,27,1,7,1,2,30,8,13
N2,8_2_13,OP50,,27,2,11,0,2,46,8,13
N2,10_11_13,OP50,,27,1,18,0,2,61,10,13
N2,10_11_13,OP50,,27,2,20,0,2,62,10,13
N2,11_13_13,OP50,,27,1,40,0,16,23,11,13
N2,11_13_13,OP50,,27,2,22,0,4,36,11,13
N2,11_20_13,OP50,,27,1,19,0,7,22,11,13
N2,11_20_13,OP50,,27,2,14,0,3,25,11,13
N2,12_9_13,OP50,,27,1,18,1,6,32,12,13
N2,12_9_13,OP50,,27,2,12,0,0,37,12,13
N2,1_24_14,OP50,,27,1,81,4,8,9,1,14
N2,1_24_14,OP50,,27,2,63,10,29,11,1,14
N2,2_5_14,OP50,,27,1,19,0,3,30,2,14
N2,2_5_14,OP50,,27,2,32,0,3,37,2,14
N2,2_11_14,OP50,,27,1,47,0,13,21,2,14
N2,2_11_14,OP50,,27,2,19,2,4,44,2,14
N2,2_11_14,OP50,,27,1,29,1,5,36,2,14
N2,2_11_14,OP50,,27,2,27,3,7,33,2,14
N2,3_22_14,OP50,,27,1,23,0,8,45,3,14
N2,3_22_14,OP50,,27,2,17,0,9,37,3,14
N2,4_11_14,OP50,,27,1,8,0,5,62,4,14
N2,4_11_14,OP50,,27,2,16,0,5,56,4,14
N2,5_10_14,OP50,,27,1,18,0,4,53,5,14
N2,5_10_14,OP50,,27,2,25,0,3,52,5,14
N2,5_30_14,OP50,,27,1,11,1,3,59,5,14
N2,5_30_14,OP50,,27,2,4,0,1,49,5,14
N2,7_1_14,OP50,,27,1,4,0,2,52,7,14
N2,7_1_14,OP50,,27,2,9,0,1,34,7,14
N2,7_21_14,OP50,,27,1,8,0,6,36,7,14
N2,7_21_14,OP50,,27,2,6,0,8,33,7,14
N2,7_21_14,OP50,,27,1,17,0,5,56,7,14
N2,7_21_14,OP50,,27,2,5,0,0,28,7,14
N2,10_30_14,OP50,,27,1,18,0,2,52,10,14
N2,10_30_14,OP50,,27,2,17,0,4,85,10,14
N2,11_7_14,OP50,,27,1,14,2,11,36,11,14
N2,11_7_14,OP50,,27,2,22,0,5,55,11,14
N2,12_5_14,OP50,,27,1,2,0,0,43,12,14
N2,12_5_14,OP50,,27,2,28,0,2,48,12,14
N2,12_19_14,OP50,,27,1,29,0,4,21,12,14
N2,12_19_14,OP50,,27,2,24,0,3,20,12,14
N2,1_19_15,OP50,,27,1,38,1,16,29,1,15
N2,1_19_15,OP50,,27,2,14,0,15,27,1,15
N2,1_22_15,OP50,,27,1,18,0,5,24,1,15
N2,1_22_15,OP50,,27,2,20,1,8,39,1,15
N2,6_5_15,OP50,,27,1,41,0,6,12,6,15
N2,6_9_15,OP50,,27,1,14,0,8,24,6,15
N2,6_9_15,OP50,,27,2,7,0,6,31,6,15
N2,10_30_15,OP50,,27,1,14,5,12,40,10,15
N2,10_30_15,OP50,,27,2,5,1,3,51,10,15
N2,11_14_15,OP50,,27,1,9,0,3,65,11,15
N2,11_14_15,OP50,,27,2,16,0,0,63,11,15
N2,12_18_15,OP50,,27,1,45,0,0,79,12,15
N2,12_18_15,OP50,,27,2,24,0,0,85,12,15
N2,1_8_16,OP50,,27,1,53,0,0,86,1,16
N2,1_8_16,OP50,,27,2,46,0,0,76,1,16
N2,3_12_16,OP50,,27,1,6,0,0,30,3,16
N2,4_22_16,OP50,,27,1,27,0,0,66,4,16
N2,4_22_16,OP50,,27,2,20,0,0,66,4,16
N2,4_23_16,OP50,,27,1,4,0,0,76,4,16
N2,4_23_16,OP50,,27,2,5,0,0,69,4,16
N2,5_7_16,OP50,,27,1,28,0,0,48,5,16
N2,5_7_16,OP50,,27,2,33,0,0,46,5,16
N2,11_18_16,OP50,,27,1,23,0,0,31,11,16
N2,11_18_16,OP50,,27,2,39,0,0,38,11,16
N2,5_2_13,OP50,,27,1,13,0,2,49,5,13
N2,5_2_13,OP50,,27,2,4,0,6,22,5,13
N2,5_15_13,OP50,,27,1,9,1,1,16,5,13
N2,5_15_13,OP50,,27,2,12,0,0,21,5,13
N2,6_14_13,OP50,,27,1,17,0,10,14,6,13
N2,6_14_13,OP50,,27,2,22,0,5,13,6,13
N2,7_25_13,OP50,,27,1,37,0,6,7,7,13
N2,7_25_13,OP50,,27,2,44,2,5,8,7,13
N2,8_29_13,OP50,,27,1,19,0,8,20,8,13
N2,8_29_13,OP50,,27,2,22,0,5,26,8,13
N2,9_12_13,OP50,,27,1,12,2,9,39,9,13
