genotype,day,food,plate,dauer,ar,pd,non
N2,10_30_14,OP50,1,18,0,2,52
N2,10_30_14,OP50,2,17,0,4,85
rict-1(mg360),10_30_14,OP50,1,59,2,6,0
rict-1(mg360),10_30_14,OP50,2,51,3,0,0
rict-1;daf-16,10_30_14,OP50,1,14,4,17,16
rict-1;daf-16,10_30_14,OP50,2,11,5,20,16
N2,11_7_14,OP50,1,14,2,11,36
N2,11_7_14,OP50,2,22,0,5,55
rict-1(mg360),11_7_14,OP50,1,65,3,0,0
rict-1(mg360),11_7_14,OP50,2,53,0,1,0
rict-1;daf-16,11_7_14,OP50,1,0,10,32,6
rict-1;daf-16,11_7_14,OP50,2,0,10,22,6
N2,12_5_14,OP50,1,2,0,0,43
N2,12_5_14,OP50,2,28,0,2,48
rict-1(mg360),12_5_14,OP50,1,73,0,0,0
rict-1(mg360),12_5_14,OP50,2,42,0,1,0
rict-1;daf-16,12_5_14,OP50,1,11,8,3,12
rict-1;daf-16,12_5_14,OP50,2,23,6,8,9
