genotype,ID,Area,mean,mode,min,max,IntDen,Median,RawIntDen,animal
ft7,daf7GFP_adult_20d_ft7-01.czi:z:11/29 - daf7GFP_adult_20d_ft7-01.czi #1,18.081,3122.348,4095,1375,4095,56455.829,3204,5386051,A
ft7,daf7GFP_adult_20d_ft7-01.czi:z:19/29 - daf7GFP_adult_20d_ft7-01.czi #1,14.245,2833.035,4095,882,4095,40356.155,2870,3850095,A
ft7,daf7GFP_adult_20d_ft7-02.czi:z:10/21 - daf7GFP_adult_20d_ft7-02.czi #1,12.851,2971.205,4095,1318,4095,38182.238,2995,3642697,A
ft7,daf7GFP_adult_20d_ft7-02.czi:z:14/21 - daf7GFP_adult_20d_ft7-02.czi #1,12.159,3241.38,4095,1211,4095,39411.802,3462,3760001,A
ft7,daf7GFP_adult_20d_ft7-03.czi:z:12/27 - daf7GFP_adult_20d_ft7-03.czi #1,7.002,2304.804,1873,1294,3070,16137.965,2374,1539609,A
ft7,daf7GFP_adult_20d_ft7-03.czi:z:17/27 - daf7GFP_adult_20d_ft7-03.czi #1,11.006,3021.248,4095,1331,4095,33251.707,3043,3172310,A
ft7,daf7GFP_adult_20d_ft7-04.czi:z:8/25 - daf7GFP_adult_20d_ft7-04.czi #1,8.176,1262.681,1303,737,1698,10323.489,1278,984891,A
ft7,daf7GFP_adult_20d_ft7-04.czi:z:15/25 - daf7GFP_adult_20d_ft7-04.czi #1,11.247,728.166,529,453,991,8189.707,723,781322,A
ft7,daf7GFP_adult_20d_ft7-05.czi:z:20/31 - daf7GFP_adult_20d_ft7-05.czi #1,7.054,1941.798,1925,1148,2439,13698.008,1959,1306830,A
ft7,daf7GFP_adult_20d_ft7-05.czi:z:26/31 - daf7GFP_adult_20d_ft7-05.czi #1,10.335,1031.349,832,610,1407,10659.108,1032,1016910,A
ft7,daf7GFP_adult_20d_ft7-06.czi:z:17/29 - daf7GFP_adult_20d_ft7-06.czi #1,10.608,3308.605,4095,1647,4095,35096.494,3370,3348308,A
ft7,daf7GFP_adult_20d_ft7-06.czi:z:13/29 - daf7GFP_adult_20d_ft7-06.czi #1,8.291,1362.714,1205,617,1711,11298.47,1385,1077907,A
ft7,daf7GFP_adult_20d_ft7-07.czi:z:13/35 - daf7GFP_adult_20d_ft7-07.czi #1,6.761,1992.874,2158,891,2504,13473.424,2056,1285404,A
ft7,daf7GFP_adult_20d_ft7-07.czi:z:15/35 - daf7GFP_adult_20d_ft7-07.czi #1,5.44,2356.48,2273,1047,3086,12819.45,2390,1223013,A
ft7,daf7GFP_adult_20d_ft7-08.czi:z:9/22 - daf7GFP_adult_20d_ft7-08.czi #1,6.897,1476.514,1161,693,1923,10183.609,1495,971546,A
ft7,daf7GFP_adult_20d_ft7-08.czi:z:9/22 - daf7GFP_adult_20d_ft7-08.czi #1,6.467,639.144,583,467,783,4133.542,642,394352,A
ft7,daf7GFP_adult_20d_ft7-09.czi:z:8/27 - daf7GFP_adult_20d_ft7-09.czi #1,8.574,2026.609,1816,1052,2986,17376.47,2042,1657766,A
ft7,daf7GFP_adult_20d_ft7-09.czi:z:20/27 - daf7GFP_adult_20d_ft7-09.czi #1,6.708,1812.65,1672,967,2383,12159.963,1830,1160096,A
ft7,daf7GFP_adult_20d_ft7-10.czi:z:12/35 - daf7GFP_adult_20d_ft7-10.czi #1,13.459,3411.973,4095,1205,4095,45920.743,3681,4380973,A
