genotype,day,pheromone,food,plate,dauer,ar,pd,non,line,allele
N2,9_20_13,control,OP50,1,0,,,65,,
N2,9_20_13,control,OP50,2,0,,,97,,
CSSII,9_20_13,control,OP50,1,0,,,68,,
CSSII,9_20_13,control,OP50,2,0,,,54,,
N2,9_20_13,C3,OP50,1,58,,,25,,
N2,9_20_13,C3,OP50,2,107,,,12,,
CSSII,9_20_13,C3,OP50,1,36,,,18,,
CSSII,9_20_13,C3,OP50,2,57,,,18,,
N2,8_14_17,control,OP50,1,0,,,55,,
N2,8_14_17,control,OP50,2,0,,,57,,
CSSII,8_14_17,control,OP50,1,0,,,74,,
CSSII,8_14_17,control,OP50,2,0,,,64,,
N2,8_14_17,C3,OP50,1,2,,,61,,
N2,8_14_17,C3,OP50,2,3,,,40,,
CSSII,8_14_17,C3,OP50,1,4,,,32,,
CSSII,8_14_17,C3,OP50,2,22,,,36,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,   ,
