genotype,day,food,temp,plate,dauer,ar,pd,non,line
N2,6_5_15,OP50,27,1,41,0,6,12,N2
NK,6_5_15,OP50,27,1,2,1,14,15,NK_4_4
NK,6_5_15,OP50,27,2,15,1,15,13,NK_4_4
ewIR25,6_5_15,OP50,27,1,0,0,0,62,ewIR25
ewIR25,6_5_15,OP50,27,2,1,1,2,55,ewIR25
N2,6_9_15,OP50,27,1,14,0,8,24,N2
N2,6_9_15,OP50,27,2,7,0,6,31,N2
NK,6_9_15,OP50,27,1,9,0,17,25,NK_4_4
NK,6_9_15,OP50,27,2,15,0,16,6,NK_4_4
ewIR25,6_9_15,OP50,27,1,0,0,0,67,ewIR25
ewIR25,6_9_15,OP50,27,2,0,0,0,71,ewIR25
N2,6_17_15,OP50,27,1,7,2,3,34,N2
N2,6_17_15,OP50,27,2,7,0,1,32,N2
NK_DG,6_17_15,OP50,27,1,3,1,10,27,NK_DG_A8
NK_DG,6_17_15,OP50,27,2,15,0,16,6,NK_DG_A8
NK_DG,6_17_15,OP50,27,1,11,0,0,60,NK_DG_A8
NK_DG,6_17_15,OP50,27,2,9,0,0,56,NK_DG_A6
NK_DG,6_17_15,OP50,27,1,9,0,14,13,NK_DG_A6
N2,7_10_15,OP50,27,1,9,0,10,33,N2
N2,7_10_15,OP50,27,2,9,0,20,30,N2
NK_DG,7_10_15,OP50,27,1,5,0,8,28,NK_DG_A6
NK_DG,7_10_15,OP50,27,2,5,0,9,44,NK_DG_A6
