genotype,day,food,plate,dauer,ar,pd,non,line,allele
N2,3_22_14,OP50,1,23,0,8,45,,
N2,3_22_14,OP50,2,17,0,9,37,,
rict-1(ft7),3_22_14,OP50,1,26,1,1,0,,ft7
rict-1(ft7),3_22_14,OP50,2,24,3,1,0,,ft7
rict-1(mg360),3_22_14,OP50,1,39,2,3,0,,mg360
rict-1(mg360),3_22_14,OP50,2,50,5,3,0,,mg360
sgk-1(ok538),3_22_14,OP50,1,36,0,13,4,,ok538
sgk-1(ok538),3_22_14,OP50,2,26,0,9,1,,ok538
pkc-1,3_22_14,OP50,1,0,0,1,67,,nj1
pkc-1,3_22_14,OP50,2,0,0,0,71,,nj1
pkc-2,3_22_14,OP50,1,0,3,2,65,,ok238
pkc-2,3_22_14,OP50,2,0,0,0,73,,ok238
N2,3_22_14,HB101,1,5,0,4,64,,
N2,3_22_14,HB101,2,6,0,2,60,,
rict-1(ft7),3_22_14,HB101,1,32,0,2,0,,ft7
rict-1(ft7),3_22_14,HB101,2,28,0,4,0,,ft7
rict-1(mg360),3_22_14,HB101,1,33,1,8,0,,mg360
rict-1(mg360),3_22_14,HB101,2,41,0,7,0,,mg360
sgk-1(ok538),3_22_14,HB101,1,18,0,11,5,,ok538
sgk-1(ok538),3_22_14,HB101,2,27,0,15,4,,ok538
pkc-1,3_22_14,HB101,1,0,3,2,65,,nj1
pkc-1,3_22_14,HB101,2,0,0,0,73,,nj1
pkc-2,3_22_14,HB101,1,3,0,0,57,,ok238
pkc-2,3_22_14,HB101,2,0,0,0,59,,ok238
N2,2_25_14,OP50,1,23,4,27,10,,
N2,2_25_14,OP50,2,34,0,20,19,,
rict-1(ft7),2_25_14,OP50,1,37,0,5,0,,ft7
rict-1(ft7),2_25_14,OP50,2,32,0,3,0,,ft7
rict-1(mg360),2_25_14,OP50,1,32,1,2,0,,mg360
rict-1(mg360),2_25_14,OP50,2,45,1,1,0,,mg360
N2,2_25_14,HB101,1,8,0,17,19,,
N2,2_25_14,HB101,2,3,1,8,47,,
rict-1(ft7),2_25_14,HB101,1,30,0,2,0,,ft7
rict-1(ft7),2_25_14,HB101,2,40,0,0,0,,ft7
rict-1(mg360),2_25_14,HB101,1,33,2,2,0,,mg360
rict-1(mg360),2_25_14,HB101,2,38,2,1,0,,mg360
sgk-1(ok538),2_25_14,OP50,1,30,0,2,0,,ok538
sgk-1(ok538),2_25_14,OP50,2,24,0,3,0,,ok538
N2,4_11_14,OP50,1,8,0,5,62,,
N2,4_11_14,OP50,2,16,0,5,56,,
rict-1(ft7),4_11_14,OP50,1,26,0,8,0,,ft7
rict-1(ft7),4_11_14,OP50,2,38,0,3,0,,ft7
rict-1(mg360),4_11_14,OP50,1,51,4,8,0,,mg360
rict-1(mg360),4_11_14,OP50,2,44,5,2,0,,mg360
N2,4_11_14,HB101,1,7,0,3,72,,
N2,4_11_14,HB101,2,3,0,3,61,,
rict-1(ft7),4_11_14,HB101,1,18,0,12,0,,ft7
rict-1(ft7),4_11_14,HB101,2,19,0,9,1,,ft7
rict-1(mg360),4_11_14,HB101,1,51,1,8,0,,mg360
rict-1(mg360),4_11_14,HB101,2,39,2,12,0,,mg360
N2,7_1_14,OP50,1,4,0,2,52,,
N2,7_1_14,OP50,2,9,0,1,34,,
rict-1(mg360),7_1_14,OP50,1,28,2,8,1,,mg360
rict-1(mg360),7_1_14,OP50,2,43,0,10,0,,mg360
sgk-1,7_1_14,OP50,1,14,0,19,15,,ft15
sgk-1,7_1_14,OP50,2,19,5,16,12,,ft15
N2,8_25_14,OP50,1,17,0,5,56,,
N2,8_25_14,OP50,2,5,0,0,28,,
pkc-2,8_25_14,OP50,1,9,0,1,72,,ok238
pkc-2,8_25_14,OP50,2,7,0,0,78,,ok238
N2,10_30_14,OP50,1,18,0,2,52,,
N2,10_30_14,OP50,2,17,0,4,85,,
rict-1(mg360),10_30_14,OP50,1,59,2,6,0,,mg360
rict-1(mg360),10_30_14,OP50,2,51,3,0,0,,mg360
sgk-1,10_30_14,OP50,1,1,0,1,75,,ft15
sgk-1,10_30_14,OP50,2,0,0,0,75,,ft15
pkc-2,10_30_14,OP50,1,0,5,4,74,,ok238
pkc-2,10_30_14,OP50,2,0,1,1,83,,ok238
N2,11_7_14,OP50,1,14,2,11,36,,
N2,11_7_14,OP50,2,22,0,5,55,,
rict-1(mg360),11_7_14,OP50,1,65,3,0,0,,mg360
rict-1(mg360),11_7_14,OP50,2,53,0,1,0,,mg360
sgk-1,11_7_14,OP50,1,4,2,5,62,,ft15
sgk-1,11_7_14,OP50,2,4,3,8,30,,ft15
pkc-2,11_7_14,OP50,1,1,0,2,76,,ok238
pkc-2,11_7_14,OP50,2,0,0,3,69,,ok238
N2,12_5_14,OP50,1,2,0,0,43,,
N2,12_5_14,OP50,2,28,0,2,48,,
rict-1(mg360),12_5_14,OP50,1,73,0,0,0,,mg360
rict-1(mg360),12_5_14,OP50,2,42,0,1,0,,mg360
sgk-1,12_5_14,OP50,1,0,0,1,37,,ft15
sgk-1,12_5_14,OP50,2,2,1,4,27,,ft15
N2,12_5_14,HB101,1,9,0,3,46,,
N2,12_5_14,HB101,2,5,1,1,66,,
rict-1(mg360),12_5_14,HB101,1,68,1,0,0,,mg360
rict-1(mg360),12_5_14,HB101,2,57,0,1,0,,mg360
sgk-1,12_5_14,HB101,1,1,0,0,35,,ft15
sgk-1,12_5_14,HB101,2,0,0,0,45,,ft15
N2,12_19_14,OP50,1,29,0,4,21,,
N2,12_19_14,OP50,2,24,0,3,20,,
N2,12_19_14,HB101,1,20,0,6,35,,
N2,12_19_14,HB101,2,11,4,11,15,,
rict-1(mg360),12_19_14,OP50,1,38,0,0,0,,mg360
rict-1(mg360),12_19_14,OP50,2,54,1,0,0,,mg360
rict-1(mg360),12_19_14,HB101,1,37,0,7,0,,mg360
rict-1(mg360),12_19_14,HB101,2,76,1,0,1,,mg360
akt-2,12_19_14,OP50,1,20,0,6,36,,ok273
akt-2,12_19_14,OP50,2,20,1,6,29,,ok273
akt-2,12_19_14,HB101,1,16,0,7,53,,ok273
akt-2,12_19_14,HB101,2,1,0,2,51,,ok273
akt-1(mg306),12_19_14,OP50,1,21,6,4,0,,mg306
akt-1(mg306),12_19_14,OP50,2,42,0,0,0,,mg306
akt-1(mg306),12_19_14,HB101,1,27,2,7,0,,mg306
