genotype,plate,date,temp,food,pheromone,neuron,#,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,note
N2,,8_2_16,25,OP50,1200,ASI,1,1,0.765,849.589,803,782,967,650.085,848,62020,
N2,,8_2_16,25,OP50,1200,ASI,2,1,0.922,1176.932,1178,1053,1255,1085.606,1192,103570,
N2,,8_2_16,25,OP50,1200,ASI,3,2,1.048,579.6,581,545,618,607.529,581,57960,
N2,,8_2_16,25,OP50,1200,ASI,4,2,1.122,394.785,395,374,421,442.775,394,42242,
N2,,8_2_16,25,OP50,1200,ASI,5,3,2.327,358.901,364,322,383,835.153,360,79676,
N2,,8_2_16,25,OP50,1200,ASI,6,3,1.918,302.863,299,282,324,580.947,302,55424,
N2,,8_2_16,25,OP50,1200,ASI,7,4,1.992,796.647,824,674,870,1586.566,804,151363,
N2,,8_2_16,25,OP50,1200,ASI,8,4,1.027,416.531,410,388,440,427.87,418,40820,
N2,,8_2_16,25,OP50,1200,ASI,9,5,1.583,662.417,653,624,701,1048.448,661,100025,
N2,,8_2_16,25,OP50,1200,ASI,10,5,1.143,426.954,427,400,456,487.805,427,46538,
N2,,8_2_16,25,OP50,1200,ASI,11,6,2.316,1047.67,1123,732,1332,2426.917,1060,231535,
N2,,8_2_16,25,OP50,1200,ASI,12,6,1.195,883.018,894,796,950,1055.146,891,100664,
N2,,8_2_16,25,OP50,1200,ASI,13,7,1.384,1010.818,991,899,1086,1398.574,1019,133428,
N2,,8_2_16,25,OP50,1200,ASI,14,7,1.122,734.748,716,662,795,824.063,738,78618,
N2,,8_2_16,25,OP50,1200,ASI,15,8,1.111,536.689,537,498,565,596.303,538,56889,
N2,,8_2_16,25,OP50,1200,ASI,16,8,1.499,452.021,463,392,487,677.537,456,64639,
N2,,8_2_16,25,OP50,1200,ASI,17,9,1.667,1108.792,1170,941,1218,1847.931,1128,176298,
N2,,8_2_16,25,OP50,1200,ASI,18,9,0.797,622.671,624,570,665,496.033,624,47323,
N2,,8_2_16,25,OP50,1200,ASI,19,10,1.792,523.596,514,480,573,938.493,525,89535,
N2,,8_2_16,25,OP50,1200,ASI,20,10,1.614,615.494,643,536,679,993.534,617,94786,
N2,,8_2_16,25,OP50,1200,ASI,21,11,1.017,699.639,708,671,734,711.351,700,67865,
N2,,8_2_16,25,OP50,1200,ASI,22,11,1.069,628.353,617,581,676,671.803,629,64092,
N2,,8_2_16,25,OP50,1200,ASI,23,12,1.792,333.146,343,291,376,597.131,335,56968,
