Label,Area,mean,mode,min,max,IntDen,Median,RawIntDen
SUM_C1-daf7_mRNA_L1_27d_N2-01.czi:cell,8.972,1036.461,1028.988,979,1113,9299.621,1034,887211
SUM_C1-daf7_mRNA_L1_27d_N2-01.czi:background,66.728,934.416,931.857,907,1050,62351.246,934,5948491
SUM_C1-daf7_mRNA_L1_27d_N2-02.czi:cell,7.337,1012.914,1001.752,958,1089,7432.058,1010,709040
SUM_C1-daf7_mRNA_L1_27d_N2-02.czi:background,43.741,928.504,930.084,896,959,40613.505,929,3874647
SUM_C1-daf7_mRNA_L1_27d_N2-03.czi:cell,8.564,1018.868,1019.312,939,1099,8725.257,1021,832415
SUM_C1-daf7_mRNA_L1_27d_N2-03.czi:background,36.477,918.27,919.002,891,950,33495.61,918,3195579
SUM_C1-daf7_mRNA_L1_27d_N2-04.czi:cell,8.878,982.871,976.984,939,1027,8726.064,983,832492
SUM_C1-daf7_mRNA_L1_27d_N2-04.czi:background,31.236,923.423,922.014,900,951,28844.002,923,2751802
SUM_C1-daf7_mRNA_L1_27d_N2-05.czi:cell,8.773,973.763,959.15,938,1029,8543.135,972,815040
SUM_C1-daf7_mRNA_L1_27d_N2-05.czi:background,33.511,922.182,919.947,896,957,30902.786,922,2948216
SUM_C1-daf7_mRNA_L1_27d_N2-06.czi:cell,6.362,929.923,926.074,899,957,5916.622,930,564463
SUM_C1-daf7_mRNA_L1_27d_N2-06.czi:background,14.706,911.872,908.049,886,939,13410.03,912,1279356
SUM_C1-daf7_mRNA_L1_27d_N2-07.czi:cell,8.029,952.32,958.871,921,991,7646.275,952,729477
SUM_C1-daf7_mRNA_L1_27d_N2-07.czi:background,30.492,915.751,915.896,887,942,27922.824,916,2663919
SUM_C1-daf7_mRNA_L1_27d_N2-08.czi:cell,7.149,1012.783,1050.047,916,1100,7240.009,1013,690718
SUM_C1-daf7_mRNA_L1_27d_N2-08.czi:background,45.607,908.43,910.125,876,940,41430.356,908,3952577
SUM_C1-daf7_mRNA_L1_27d_N2-09.czi:cell,7.945,938.268,940.99,901,964,7454.772,938.5,711207
SUM_C1-daf7_mRNA_L1_27d_N2-09.czi:background,38.961,912.35,911.029,886,941,35546.134,912,3391205
SUM_C1-daf7_mRNA_L1_27d_N2-10.czi:cell,6.677,977.867,981.959,940,1033,6529.161,978,622901
SUM_C1-daf7_mRNA_L1_27d_N2-10.czi:background,15.985,914.108,912.949,890,940,14611.859,914,1394014
SUM_C1-daf7_mRNA_L1_27d_N2-11.czi:cell,4.402,986.09,978.854,944,1027,4341.146,986,414158
SUM_C1-daf7_mRNA_L1_27d_N2-11.czi:background,36.11,912.702,914.086,889,941,32957.691,913,3144260
SUM_C1-daf7_mRNA_L1_27d_N2-12.czi:cell,9.811,977.75,975.965,924,1030,9592.725,978,915174
SUM_C1-daf7_mRNA_L1_27d_N2-12.czi:background,67.807,915.204,916.115,884,947,62057.377,915,5920455
SUM_C1-daf7_mRNA_L1_27d_N2-13.czi:cell,8.186,967.844,967.98,923,1021,7923.091,968,755886
SUM_C1-daf7_mRNA_L1_27d_N2-13.czi:background,89.966,917.129,915.07,888,948,82510.231,917,7871717
SUM_C1-daf7_mRNA_L1_27d_N2-14.czi:cell,6.111,970.873,967.98,933,1023,5932.932,969,566019
SUM_C1-daf7_mRNA_L1_27d_N2-14.czi:background,33.469,913.489,915.037,887,942,30573.184,914,2916771
SUM_C1-daf7_mRNA_L1_27d_N2-15.czi:cell,5.88,971.109,966.113,935,1025,5710.433,970,544792
SUM_C1-daf7_mRNA_L1_27d_N2-15.czi:background,31.854,917.894,917.943,890,947,29238.948,918,2789481
SUM_C1-daf7_mRNA_L1_27d_N2-16.czi:cell,6.038,970.469,966.098,937,1015,5859.255,970,558990
SUM_C1-daf7_mRNA_L1_27d_N2-16.czi:background,45.345,918.994,918.125,891,955,41671.324,919,3975566
SUM_C1-daf7_mRNA_L1_27d_N2-17.czi:cell,8.396,1006.583,985.135,943,1084,8451.24,1006,806273
SUM_C1-daf7_mRNA_L1_27d_N2-17.czi:background,34.496,916.349,914.941,891,945,31610.196,916,3015705
SUM_C1-daf7_mRNA_L1_27d_N2-17B.czi:cell,5.723,1002.029,991.133,940,1080,5734.709,1000,547108
SUM_C1-daf7_mRNA_L1_27d_N2-17B.czi:background,25.345,903.914,904.246,874,1048,22909.833,904,2185665
SUM_C1-daf7_mRNA_L1_27d_N2-18.czi:cell,13.658,944.909,950.135,912,983,12905.433,945,1231216
SUM_C1-daf7_mRNA_L1_27d_N2-18.czi:background,64.495,908.221,908.121,877,939,58575.586,908,5588282
SUM_C1-daf7_mRNA_L1_27d_N2-19.czi:cell,6.268,967.562,962.168,919,1005,6064.825,968,578602
SUM_C1-daf7_mRNA_L1_27d_N2-19.czi:background,20.859,910.988,911.926,881,939,19002.207,911,1812866
