genotype,day,food,plate,dauer,ar,pd,non,condition,allele
N2,11_25_16,OP50,1,0,0,0,58,,
N2,11_25_16,OP50,2,0,0,0,65,,
rict-1(ft7),11_25_16,OP50,1,44,0,0,4,,
rict-1(ft7),11_25_16,OP50,2,51,0,0,2,,
rict-1(ft7); ex[ASI::daf28],11_25_16,OP50,1,1,0,0,24,,
rict-1(ft7); ex[ASI::daf28],11_25_16,OP50,2,0,0,0,31,,
rict-1(ft7); ex[ASJ::daf28],11_25_16,OP50,1,0,0,0,23,,
rict-1(ft7); ex[ASJ::daf28],11_25_16,OP50,2,0,0,0,17,,
N2,11_26_16,OP50,1,0,0,0,46,,
N2,11_26_16,OP50,2,0,0,0,42,,
rict-1(ft7),11_26_16,OP50,1,66,0,0,3,,
rict-1(ft7),11_26_16,OP50,2,73,0,0,0,,
rict-1(ft7); ex[ASI::daf28],11_26_16,OP50,1,2,0,0,19,,
rict-1(ft7); ex[ASI::daf28],11_26_16,OP50,2,3,0,0,25,,
rict-1(ft7); ex[ASJ::daf28],11_26_16,OP50,1,11,0,0,14,,
rict-1(ft7); ex[ASJ::daf28],11_26_16,OP50,1,18,0,0,1,,
N2,12_4_16,OP50,2,12,0,0,30,,
N2,12_4_16,OP50,1,6,0,0,48,,
rict-1(ft7),12_4_16,OP50,2,33,0,0,3,,
rict-1(ft7),12_4_16,OP50,1,38,0,0,1,,
rict-1(ft7); ex[ASJ::daf28],12_4_16,OP50,2,5,0,0,4,,
rict-1(ft7); ex[ASJ::daf28],12_4_16,OP50,1,12,0,0,6,,
