genotype,ID,sample,area,mean,mode,min,max,den,median,rawden
N2,41,pdf1venus_L1-02.czi:z:5/13 - pdf1venus_L1-02.czi #1,2.054,285.015,279,243,346,585.548,282,55863
N2,42,pdf1_venus_L1-02.czi:z:4/13 - pdf1_venus_L1-02.czi #1,1.405,269.403,266,241,296,378.395,269,36100
N2,43,pdf1_venus_L1-04.czi:z:8/17 - pdf1_venus_L1-04.czi #1,1.929,237.299,238,224,256,457.669,237,43663
mg360,44,L1.czi:z:4/11 - L1.czi #1,3.848,427.959,446,335,576,1646.887,428,63338
mg360,45,L1-02.czi:z:6/15 - L1-02.czi #1,4.342,344.988,339,303,405,1498.028,341,57613
mg360,46,L1-03.czi:z:6/12 - L1-03.czi #1,4.654,425.318,363,326,630,1979.551,411,76132
mg360,47,L1-04.czi:z:6/13 - L1-04.czi #1,2.938,410.389,383,340,503,1205.796,407,46374
mg360,48,L1-05.czi:z:6/13 - L1-05.czi #1,2.522,385.907,388,317,444,973.316,384,37433
mg360,49,L1-06.czi:z:4/15 - L1-06.czi #1,2.392,359.098,332,319,413,859.014,359,33037
mg360,50,L1-07.czi:z:1/14 - L1-07.czi #1,2.288,503.216,446,414,649,1151.427,492,44283
mg360,51,L1-07.czi:z:13/14 - L1-07.czi #1,1.04,366.375,376,348,381,381.053,367,14655
mg360,52,L1-08.czi:z:7/15 - L1-08.czi #1,2.548,386.582,351,326,487,985.069,375,37885
mg360,53,L1-09.czi:z:7/15 - L1-09.czi #1,2.782,382.355,360,329,474,1063.776,373,40912
mg360,54,L1-09.czi:z:12/15 - L1-09.czi #1,1.404,304.648,305,283,325,427.752,305,16451
mg360,55,L1-10.czi:z:10/12 - L1-10.czi #1,1.17,301.178,292,280,320,352.399,302,13553
mg360,56,L1-11.czi:z:16/17 - L1-11.czi #1,1.794,321.536,311,296,358,576.871,322,22186
mg360,57,L1-12.czi:z:13/14 - L1-12.czi #1,2.548,290.388,277,269,323,739.952,289,28458
mg360,58,L1-13.czi:z:4/13 - L1-13.czi #1,3.328,370.953,367,325,469,1234.606,368,47482
mg360,59,L1-14.czi:z:12/15 - L1-14.czi #1,2.34,307,303,278,348,718.423,304,27630
mg360,60,L1-15.czi:z:12/17 - L1-15.czi #1,2.496,324.427,331,302,346,809.819,325,31145
N2,61,L1.czi:z:4/42 - L1.czi #1,2.756,289.877,266,252,338,798.95,287,30727
N2,62,L1-04.czi:z:5/43 - L1-04.czi #1,2.314,287.652,287,265,367,665.666,284,25601
N2,63,L1-05.czi:z:38/44 - L1-05.czi #1,1.326,266.078,265,253,279,352.841,266,13570
N2,64,L1-06.czi:z:3/11 - L1-06.czi #1,1.326,284.098,278,262,332,376.737,279,14489
N2,65,L1-08.czi:z:15/27 - L1-08.czi #1,2.21,281.729,282,261,300,622.659,282,23947
N2,66,L1-09.czi:z:12/15 - L1-09.czi #1,6.474,275.687,275,258,298,1784.903,275,68646
N2,67,L1-10.czi:z:3/16 - L1-10.czi #1,3.848,349.986,307,289,557,1346.829,331,51798
N2,68,L1-19.czi:z:10/29 - L1-19.czi #1,3.718,345.329,355,292,378,1284.009,349,49382
N2,69,L1-20.czi:z:6/21 - L1-20.czi #1,4.082,293.025,300,265,319,1196.202,293,46005
