date ,genotype,plate,n_boxes,n_entries,line
12_20_16,ft7,1&2,109,378,
12_20_16,pdfr-1,1&2,53,78,
12_20_16,ft7,3&4,178,443,
12_20_16,pdfr-1,3&4,21,46,
12_20_16,N2,1&2,141,249,
12_20_16,N2,3&4,103,206,
12_20_16,pdfr-1;ft7,1&2,18,61,
12_20_16,pdfr-1;ft7,3&4,84,262,
12_20_16,pdf-1,1&2,32,54,
12_20_16,pdf-1,3&4,11,26,
12_20_16,ft7,5&6,182,670,
12_20_16,ft7,7&8,129,560,
12_20_16,pdfr-1,5&6,15,32,
12_20_16,pdfr-1,7&8,39,144,
12_20_16,N2,5&6,144,303,
12_20_16,N2,7&8,98,356,
12_20_16,pdfr-1;ft7,5&6,69,202,
12_20_16,pdfr-1;ft7,7&8,26,42,
12_20_16,ft7,9&10,179,772,
12_20_16,ft7,11&12,161,613,
12_20_16,pdfr-1,9&10,11,27,
12_20_16,pdfr-1,11&12,7,25,
12_20_16,N2,9&10,112,193,
12_20_16,N2,11&12,129,314,
12_20_16,pdf-1,5&6,21,51,
12_20_16,pdf-1,7&8,23,36,
12_20_16,pdf-1,9&10,25,42,
12_20_16,pdf-1,11&12,20,32,
12_20_16,pdfr-1;ft7,9&10,32,83,
12_20_16,pdfr-1;ft7,11&12,20,36,
10_9_16,ft7,1&2,152,333,
10_9_16,ft7,3&4,145,588,
10_9_16,ft7,5&6,159,447,
10_9_16,ft7,7&8,151,345,
10_9_16,ft7,9&10,146,695,
10_9_16,ft7;ex[ges-1p],1_1&2,135,332,L1
10_9_16,ft7;ex[ges-1p],1_3&4,150,349,L1
10_9_16,ft7;ex[ges-1p],1_5&6,156,461,L1
10_9_16,ft7;ex[ges-1p],1_7&8,68,380,L1
10_9_16,ft7;ex[ges-1p],1_9&10,126,346,L1
10_9_16,ft7;ex[ges-1p],1_11&12,124,362,L1
10_9_16,ft7;ex[ges-1p],2_1&2,108,273,L2
10_9_16,ft7;ex[ges-1p],2_3&4,113,468,L2
10_9_16,ft7;ex[ges-1p],2_5&6,170,465,L2
10_9_16,ft7;ex[ges-1p],2_7&8,130,591,L2
10_9_16,ft7;ex[ges-1p],2_9&10,132,315,L2
10_9_16,ft7;ex[ges-1p],3_1&2,136,317,L3
10_9_16,ft7;ex[ges-1p],3_3&4,137,387,L3
10_9_16,ft7;ex[ges-1p],3_5&6,143,367,L3
10_9_16,ft7;ex[ges-1p],3_7&8,135,395,L3
10_9_16,ft7;ex[ges-1p],3_9&10,141,271,L3
10_9_16,ft7;ex[rict-1p],1_1&2,87,199,L1
10_9_16,ft7;ex[rict-1p],1_3&4,58,164,L1
10_9_16,ft7;ex[rict-1p],1_5&6,68,215,L1
10_9_16,ft7;ex[rict-1p],1_7&8,108,150,L1
10_9_16,ft7;ex[rict-1p],1_9&10,126,364,L1
10_9_16,N2,1&2,163,466,
10_9_16,N2,3&4,65,87,
10_9_16,N2,5&6,103,382,
10_9_16,N2,7&8,89,315,
10_9_16,N2,9&10,141,306,
10_5_16,ft7,1&2,159,637,
10_5_16,ft7,3&4,166,404,
10_5_16,ft7,5&6,143,626,
10_5_16,ft7,7&8,130,360,
10_5_16,ft7,9&10,132,324,
10_5_16,ft7,11&12,,532,
10_5_16,ft7;ex[ges-1p],1_1&2,99,218,L1
10_5_16,ft7;ex[ges-1p],1_3&4,79,208,L1
10_5_16,ft7;ex[ges-1p],1_5&6,156,352,L1
10_5_16,ft7;ex[ges-1p],1_7&8,79,179,L1
10_5_16,ft7;ex[ges-1p],1_9&10,97,277,L1
10_5_16,ft7;ex[ges-1p],1_11&12,131,363,L1
10_5_16,ft7;ex[ges-1p],2_1&2,37,91,L2
10_5_16,ft7;ex[ges-1p],2_3&4,140,679,L2
10_5_16,ft7;ex[ges-1p],2_5&6,124,349,L2
10_5_16,ft7;ex[ges-1p],2_7&8,87,255,L2
10_5_16,ft7;ex[ges-1p],2_9&10,86,180,L2
10_5_16,ft7;ex[ges-1p],2_11&12,157,414,L2
10_5_16,ft7;ex[ges-1p],3_1&2,116,411,L3
10_5_16,ft7;ex[ges-1p],3_3&4,95,216,L3
