genotype,day,food,condition,pheromone,concentration(uM),temp,plate,dauer,ar,pd,non,notes
N2,8_19_16,OP50,,C3,0,25,1,0,,,72,
N2,8_19_16,OP50,,C3,0,25,2,0,,,68,
N2,8_19_16,OP50,,C3,0.6,25,1,0,,,84,
N2,8_19_16,OP50,,C3,0.6,25,2,0,,,66,
N2,8_19_16,OP50,,C3,1.2,25,1,41,,,49,
N2,8_19_16,OP50,,C3,1.2,25,2,12,,,54,
N2,8_19_16,OP50,,C3,2.4,25,1,54,,,25,
rict-1(ft7),8_19_16,OP50,,C3,0,25,1,0,,,74,
rict-1(ft7),8_19_16,OP50,,C3,0,25,2,0,,,63,
rict-1(ft7),8_19_16,OP50,,C3,0.6,25,1,44,,,7,
rict-1(ft7),8_19_16,OP50,,C3,0.6,25,2,40,,,8,
rict-1(ft7),8_19_16,OP50,,C3,1.2,25,1,72,,,5,
rict-1(ft7),8_19_16,OP50,,C3,1.2,25,2,59,,,2,
rict-1(ft7),8_19_16,OP50,,C3,2.4,25,1,69,,,1,
rict-1(ft7),8_19_16,OP50,,C3,2.4,25,2,73,,,1,
N2,9_2_16,OP50,,C3,0,25,1,0,,,60,
N2,9_2_16,OP50,,C3,0,25,2,0,,,71,
N2,9_2_16,OP50,,C3,0.6,25,1,0,,,76,
N2,9_2_16,OP50,,C3,0.6,25,2,2,,,61,
N2,9_2_16,OP50,,C3,0.6,25,3,0,,,57,
N2,9_2_16,OP50,,C3,0.6,25,4,0,,,60,
N2,9_2_16,OP50,,C3,1.2,25,1,3,,,53,
N2,9_2_16,OP50,,C3,1.2,25,2,11,,,37,
N2,9_2_16,OP50,,C3,1.2,25,3,0,,,65,
N2,9_2_16,OP50,,C3,1.2,25,4,0,,,68,
N2,9_2_16,OP50,,C3,2.4,25,1,11,,,25,
N2,9_2_16,OP50,,C3,2.4,25,2,0,,,39,
N2,9_2_16,OP50,,C3,2.4,25,3,0,,,71,
N2,9_2_16,OP50,,C3,2.4,25,4,42,,,26,
N2,9_2_16,OP50,,C3,0,25,3,0,,,27,
rict-1(ft7),9_2_16,OP50,,C3,0,25,2,0,,,43,
rict-1(ft7),9_2_16,OP50,,C3,0.6,25,1,44,,,7,
rict-1(ft7),9_2_16,OP50,,C3,0.6,25,2,32,,,3,
rict-1(ft7),9_2_16,OP50,,C3,0.6,25,3,65,,,9,
rict-1(ft7),9_2_16,OP50,,C3,0.6,25,4,53,,,9,
rict-1(ft7),9_2_16,OP50,,C3,1.2,25,1,40,,,8,
rict-1(ft7),9_2_16,OP50,,C3,1.2,25,2,54,,,2,
rict-1(ft7),9_2_16,OP50,,C3,2.4,25,1,59,,,3,
rict-1(ft7),9_2_16,OP50,,C3,2.4,25,2,50,,,4,
rict-1(ft7),9_2_16,OP50,,C3,2.4,25,3,58,,,5,
rict-1(ft7),9_2_16,OP50,,C3,2.4,25,4,91,,,2,
