genotype,prop.C3,median.C3,mean.C3,max.C3,min.C3,SEM.C3,prop.HT,median.HT,mean.HT,max.HT,min.HT,SEM.HT,lat,lat_abs,loc,av.HT,max.HT
AB1,0.921875,0.829950559,0.818520953,0.921875,0.692307692,0.050482968,0.173333333,0.316489362,0.361516894,0.680555556,0.173333333,0.07509311,-34.93,34.93,"Adelaide, Australia",29.5,39
AB3,0.03960396,0.260416667,0.240109323,0.4,0.03960396,0.092766532,0.163265306,0.42358804,0.385356167,0.653846154,0.064516129,0.074847178,-34.93,34.93,"Adelaide, Australia",29.5,39
CB3198,0.086956522,0.097049689,0.097049689,0.107142857,0.086956522,0.010093168,0.875,0.795918367,0.800982906,0.907692308,0.704081633,0.040301475,34.16,34.16,"Pasadena, USA",32.7,
CB4852,0.092105263,0.091507177,0.068901737,0.092592593,0,0.022969968,0.027027027,0.020564516,0.027699212,0.098039216,0,0.014859133,,,NA,,
CB4856,0,0,0.015306122,0.06122449,0,0.015306122,0,0,0.003472222,0.020833333,0,0.003472222,21.33,21.33,"Oahu, Hawaii",31.6,
ED3040,0.891891892,0.853088803,0.831335556,0.891891892,0.727272727,0.039215122,0.573170732,0.327210884,0.328921998,0.573170732,0.078431373,0.083331105,-26.1,26.1,"Johannesburg, South Africa",26,
ED3072,0.841463415,0.851500938,0.859230001,0.944444444,0.789473684,0.03220821,0.260273973,0.175744681,0.180561683,0.362318841,0.021052632,0.049631714,-1.108,1.108,"Limuru, Kenya",28.22,38.22
JU1400,0.810810811,0.69312026,0.70492321,0.810810811,0.622641509,0.04217621,0.012658228,0.098392652,0.169462023,0.361111111,0.012658228,0.062004789,37.3845,37.3845,"Sevilla, Spain",36,
JU322,0.780821918,0.78800132,0.808266341,0.886792453,0.77027027,0.02666846,0.056818182,0.02678785,0.040168542,0.098591549,0.013157895,0.013205996,44.42,44.42,"Merlet, Lagorce (Ardeche), France",,
JU345,0.632911392,0.582080696,0.487021903,0.696969697,0.086956522,0.137649995,0.358024691,0.358024691,0.387385951,0.582089552,0.236842105,0.063656263,44.42,44.42,"Merlet, Lagorce (Ardeche), France",,
JU362,0.017857143,0.00617284,0.007550705,0.017857143,0,0.004502228,0.109090909,0.357919255,0.310185939,0.517857143,0.086956522,0.071330744,48.98,48.98,"Franconville, France",,
JU561,0.184615385,0.48923445,0.49821788,0.829787234,0.184615385,0.144839037,0,0,0,0,0,0,48.71,48.71,"Sainte-Barbe, France",,
JU775,0.02173913,0.02173913,0.021970688,0.026315789,0.017857143,0.002444544,0.054054054,0.076904177,0.090771373,0.157894737,0.054054054,0.015295611,38.7175,38.7175,"Lisbon, Portugal",,
MY14,0.264705882,0.328781513,0.309513602,0.481481481,0.099009901,0.083085617,0.01754386,0,0.002923977,0.01754386,0,0.002923977,51.93,51.93,"Meckelenbeck, Germany",,
N2,0.672566372,0.713297373,0.743211332,0.873684211,0.672566372,0.046257353,0.435643564,0.435294118,0.469858395,0.704761905,0.350515464,0.060817861,51.45,51.45,"Bristol, UK",,
PX178,0.583333333,0.692829457,0.648123832,0.829787234,0.37704918,0.105853297,0.458333333,0.537227723,0.56307331,0.788461538,0.362745098,0.063532055,44.035,44.035,"Eugene, Or",,
QX1211,0.863636364,0.63870614,0.680189697,0.863636364,0.579710145,0.062777507,0.058823529,0.029411765,0.04248366,0.111111111,0,0.026749519,37.75,37.75,"San Francisco, Ca",,
