genotype,day,food,plate,dauer,ar,pd,non,note
N2,11_18_16,OP50,1,23,,,31,
N2,11_18_16,OP50,2,39,,,38,
hid-7(sa752),11_18_16,OP50,1,55,,,1,
hid-7(sa752),11_18_16,OP50,2,56,,,0,
daf-15(G1552A),11_18_16,OP50,1,59,,,17,
daf-15(G1552A),11_18_16,OP50,2,48,,,23,
N2,11_25_16,OP50,1,0,,,58,
N2,11_25_16,OP50,2,0,,,65,
hid-7(sa752),11_25_16,OP50,1,27,,,12,
hid-7(sa752),11_25_16,OP50,2,27,,,24,
daf-15(G1552A),11_25_16,OP50,1,25,,,49,
daf-15(G1552A),11_25_16,OP50,2,18,,,46,
N2,12_4_16,OP50,1,12,,,30,
N2,12_4_16,OP50,2,6,,,48,
hid-7(sa752),12_4_16,OP50,1,39,,,25,
hid-7(sa752),12_4_16,OP50,2,40,,,19,
daf-15(G1552A),12_4_16,OP50,1,39,,,26,
daf-15(G1552A),12_4_16,OP50,2,56,,,31,
N2,4_1_16,OP50,1,2,,,47,
N2,4_1_16,OP50,2,4,,,58,
hid-6(sa711),4_1_16,OP50,1,31,,,38,
hid-6(sa711),4_1_16,OP50,2,13,,,43,
let-363(R2556K),4_1_16,OP50,1,30,,,31,lineF2
let-363(R2556K),4_1_16,OP50,2,56,,,54,lineF2
let-363(R2556K),4_1_16,OP50,3,33,,,53,lineF3
let-363(R2556K),4_1_16,OP50,4,30,,,27,lineF3
N2,4_3_16,OP50,1,7,,,72,
N2,4_3_16,OP50,2,29,,,42,
hid-6(sa711),4_3_16,OP50,1,33,,,33,
hid-6(sa711),4_3_16,OP50,2,39,,,24,lineF2
let-363(R2556K),4_3_16,OP50,1,47,,,31,lineF2
let-363(R2556K),4_3_16,OP50,2,29,,,38,lineF3
let-363(R2556K),4_3_16,OP50,3,39,,,41,lineF3
let-363(R2556K),4_3_16,OP50,4,,,,,
N2,4_4_16,OP50,1,26,,,50,
N2,4_4_16,OP50,2,23,,,66,
hid-6(sa711),4_4_16,OP50,1,9,,,14,
hid-6(sa711),4_4_16,OP50,2,8,,,15,
let-363(R2556K),4_4_16,OP50,1,47,,,20,lineF2
let-363(R2556K),4_4_16,OP50,2,42,,,27,lineF2
let-363(R2556K),4_4_16,OP50,3,64,,,19,lineF3
let-363(R2556K),4_4_16,OP50,4,39,,,26,lineF3
